שם כרטיס,תאריך,שם בית עסק,סכום קנייה
3986,26.12.2025,חוביזה מעדנייה טבעונ,35.00
3986,26.12.2025,אלמה מרקט סניף כפר-ס,51.60
3986,25.12.2025,קפה לנדוור רוטשילד כ,80.00
3986,25.12.2025,קפה לנדוור רוטשילד כ,80.00
3986,24.12.2025,קפה לנדוור רוטשילד כ,58.00
3986,24.12.2025,קליית חממה,90.80
3986,23.12.2025,שופרסל אקספרס  הכרמל,12.90
3986,23.12.2025,שופרסל אקספרס  הכרמל,35.60
3986,22.12.2025,נקודת טבע מ.ש.מ בע”מ,161.10
3986,21.12.2025,הבית של החומוס,46.00
3986,20.12.2025,טבע האוכל בע”מ,26.00
3986,19.12.2025,שופרסל אקספרס  הכרמל,32.60
3986,19.12.2025,EROTS NAISA IKOT,91.00
3986,19.12.2025,נקודת טבע מ.ש.מ בע”מ,63.30
3986,19.12.2025,אלמה מרקט סניף כפר-ס,21.30
3986,18.12.2025,קפה לנדוור רוטשילד כ,159.00
3986,18.12.2025,אלמה מרקט סניף כפר-ס,36.19
3986,17.12.2025,חומוס אליהו כפר סבא,66.00
3986,15.12.2025,דרך השמש מזון בע”מ,109.67
3986,15.12.2025,ברנדזל  אופנת שיער,50.00
3986,15.12.2025,וי.איי פטס,30.00
3986,15.12.2025,אלמה מרקט סניף כפר-ס,26.61
3986,15.12.2025,גן הירק,65.00
3986,14.12.2025,שופרסל אקספרס  הכרמל,54.80
3986,14.12.2025,קליית חממה,26.20
3986,12.12.2025,אלמה מרקט סניף כפר-ס,58.50
3986,11.12.2025,קפה לנדוור רוטשילד כ,54.00
3986,11.12.2025,אלי ירקות,121.47
3986,10.12.2025,באליחומוס,50.00
3986,10.12.2025,שופרסל אקספרס תל חי,68.64
3986,10.12.2025,ידיעות ספרים בע”מ,160.00
3986,08.12.2025,קפה לנדוור רוטשילד כ,55.00
3986,08.12.2025,נקודת טבע מ.ש.מ בע”מ,108.20
3986,08.12.2025,גן הירק,100.00
3986,05.12.2025,אלמה מרקט סניף כפר-ס,30.12
3986,03.12.2025,דרך השמש מזון בע”מ,20.14
3986,03.12.2025,טבע האוכל בע”מ,93.00
3986,02.12.2025,וי.איי פטס,30.00
3986,01.12.2025,ירקות הכפר,165.00
3986,01.12.2025,ירקות הכפר,50.00
3986,01.12.2025,גן הירק,63.00
3986,01.12.2025,ירקות הכפר,30.00
3986,01.12.2025,נקודת טבע מ.ש.מ בע”מ,50.80
3986,30.11.2025,קפה לנדוור רוטשילד כ,100.00
3986,28.11.2025,טבע האוכל בע”מ,88.00
3986,28.11.2025,EROTS NAISA IKOT,86.00
3986,28.11.2025,אלמה מרקט סניף כפר-ס,63.63
3986,27.11.2025,שופרסל שלי כפר סבא,22.00
3986,27.11.2025,קפה לנדוור רוטשילד כ,40.00
3986,27.11.2025,הוצאת עתון הארץ בע”מ,24.60
3986,26.11.2025,הוצאת עתון הארץ בע”מ,360.00
3986,26.11.2025,דרך השמש מזון בע”מ,131.72
3986,25.11.2025,גן הירק,52.00
3986,25.11.2025,טבע האוכל בע”מ,34.00
3986,24.11.2025,וי.איי פטס,24.00
3986,24.11.2025,שופרסל אקספרס  הכרמל,59.90
3986,24.11.2025,נקודת טבע מ.ש.מ בע”מ,169.50
3986,23.11.2025,פועלים- דמי כרטיס,7.80
3986,21.11.2025,טבע האוכל בע”מ,76.00
3986,21.11.2025,אלמה מרקט סניף כפר-ס,28.41
3986,20.11.2025,נפלאות הקולה,270.96
3986,20.10.2025,הוצאת עתון הארץ בע”מ,360.00
3986,20.10.2025,ידיעות ספרים בע”מ,128.00
3986,19.10.2025,הוצאת עתון הארץ בע”מ,24.60
3986,17.10.2025,שופרסל אקספרס תל חי,46.80
3986,17.10.2025,כללית כפ”ס בן גוריון,529.91
3986,17.10.2025,טבע האוכל בע”מ,73.00
3986,17.10.2025,אלי ירקות,145.61
3986,17.10.2025,גן הירק,54.00
3986,16.10.2025,הומי'ז,55.00
3986,10.10.2025,נקודת טבע מ.ש.מ בע”מ,122.70
3986,10.10.2025,אלמה מרקט סניף כפר-ס,23.04
3986,10.10.2025,טבע האוכל בע”מ,17.00
3986,10.10.2025,גן הירק,45.00
3986,10.10.2025,שופרסל אקספרס תל חי,31.00
3986,09.10.2025,בית מרקחת כנרת בע”מ,39.30
3986,09.10.2025,טבע האוכל בע”מ,4.00
3986,09.10.2025,שופרסל אקספרס  הכרמל,71.20
3986,09.10.2025,טבע האוכל בע”מ,66.00
3986,08.10.2025,אלמה מרקט סניף כפר-ס,107.96
3986,08.10.2025,אלמה מרקט סניף כפר-ס,7.90
3986,08.10.2025,טבע האוכל בע”מ,14.00
3986,07.10.2025,דובנוב 8,80.00
3986,06.10.2025,אלי ירקות,72.00
3986,06.10.2025,נקודת טבע מ.ש.מ בע”מ,212.05
3986,06.10.2025,אלמה מרקט סניף כפר-ס,20.90
3986,06.10.2025,שופרסל אקספרס  הכרמל,19.90
3986,06.10.2025,טבע האוכל בע”מ,78.00
3986,06.10.2025,גן הירק,194.00
3986,05.10.2025,אלי ירקות,110.49
3986,05.10.2025,שופרסל אקספרס תל חי,17.60
3986,05.10.2025,CHEYENNE     ~EMSENSE*CK,236.26
3986,05.10.2025,CHEYENNE     ~EMSENSE*CK,266.38
3986,04.10.2025,VENICE       ~TOTALAV.COM,508.25
3986,04.10.2025,AMSTERDAM    ~NETFLIX.COM,54.90
3986,01.10.2025,קליית חממה,173.00
3986,01.10.2025,שופרסל אקספרס  הכרמל,55.90
3986,01.10.2025,טבע האוכל בע”מ,82.00
3986,01.10.2025,אלמה מרקט סניף כפר-ס,84.05
3986,29.09.2025,ידיעות ספרים בע”מ,221.00
3986,29.09.2025,שופרסל אקספרס  הכרמל,129.58
3986,29.09.2025,אלמה מרקט סניף כפר-ס,55.00
3986,29.09.2025,שופרסל אקספרס  הכרמל,38.41
3986,29.09.2025,אלמה מרקט סניף כפר-ס,34.36
3986,29.09.2025,טבע האוכל בע”מ,53.00
3986,28.09.2025,גן הירק,58.00
3986,28.09.2025,הוצאת עתון הארץ בע”מ,360.00
3986,26.09.2025,אלמה מרקט סניף כפר-ס,47.60
3986,26.09.2025,אלמה מרקט סניף כפר-ס,8.46
3986,26.09.2025,אלי ירקות,138.98
3986,25.09.2025,נקודת טבע מ.ש.מ בע”מ,146.93
3986,25.09.2025,שופרסל אקספרס  הכרמל,85.40
3986,25.09.2025,קפה לנדוור רוטשילד כ,113.00
3986,22.09.2025,פועלים- דמי כרטיס,7.80
3986,22.09.2025,נקודת טבע מ.ש.מ בע”מ,44.40
3986,22.09.2025,אלי ירקות,100.91
3986,22.09.2025,טבע האוכל בע”מ,165.00
3986,21.09.2025,שופרסל אקספרס  הכרמל,166.40
3986,21.09.2025,נקודת טבע מ.ש.מ בע”מ,336.40
3986,19.09.2025,שופרסל אקספרס תל חי,41.90
3986,19.09.2025,שופרסל אקספרס תל חי,39.90
3986,19.09.2025,קליית חממה,88.80
3986,17.09.2025,נקודת טבע מ.ש.מ בע”מ,162.80
3986,17.09.2025,אלי ירקות,158.34
3986,11.09.2025,חומוס אליהו כפר סבא,50.00
3986,10.09.2025,נקודת טבע מ.ש.מ בע”מ,125.14
3986,09.09.2025,שופרסל אקספרס  הכרמל,19.90
3986,09.09.2025,שופרסל אקספרס תל חי,75.39
3986,09.09.2025,שופרסל אקספרס  הכרמל,115.70
3986,07.09.2025,אלי ירקות,207.15
3986,07.09.2025,EROTS NAISA IKOT,30.00
3986,07.09.2025,שופרסל אקספרס תל חי,75.80
3986,07.09.2025,טבע האוכל בע”מ,17.00
3986,05.09.2025,טבע האוכל בע”מ,163.00
3986,05.09.2025,טבע האוכל בע”מ,75.00
3986,04.09.2025,שופרסל אקספרס תל חי,34.30
3986,04.09.2025,קפה לנדוור רוטשילד כ,61.00
3986,04.09.2025,טבע האוכל בע”מ,84.00
3986,04.09.2025,גן הירק,122.00
3986,03.09.2025,דרך השמש מזון בע”מ,111.71
3986,03.09.2025,אלי ירקות,138.60
3986,03.09.2025,שופרסל אקספרס  הכרמל,134.60
3986,01.09.2025,קליית השלושה,137.71
3986,01.09.2025,דרך השמש מזון בע”מ,99.52
3986,01.09.2025,טבע האוכל בע”מ,17.00
3986,31.08.2025,שופרסל אקספרס  הכרמל,105.80
3986,31.08.2025,אלמה מרקט סניף כפר-ס,30.80
3986,31.08.2025,סופרפארם כפר סבא 9,217.90
3986,31.08.2025,טבע האוכל בע”מ,117.00
3986,29.08.2025,טבע האוכל בע”מ,63.00
3986,28.08.2025,באליחומוס,93.00
3986,28.08.2025,נפלאות הקולה,90.00
3986,28.08.2025,אלי ירקות,152.68
3986,28.08.2025,נקודת טבע מ.ש.מ בע”מ,120.70
3986,27.08.2025,טבע האוכל בע”מ,167.00
3986,27.08.2025,יד שרה )זיכוי בסניפי,360.00
3986,26.08.2025,סופרפארם כפר סבא 9,98.10
3986,26.08.2025,קפה לנדוור רוטשילד כ,75.00
3986,25.08.2025,טבע האוכל בע”מ,89.00
3986,25.08.2025,באליחומוס,96.00
3986,25.08.2025,שופרסל אקספרס  הכרמל,84.00
3986,22.08.2025,טבע האוכל בע”מ,88.00
3986,22.08.2025,פועלים- דמי כרטיס,7.80
3986,21.08.2025,אלי ירקות,163.00
3986,21.08.2025,נקודת טבע מ.ש.מ בע”מ,293.50
3986,20.08.2025,טבע האוכל בע”מ,36.00
3986,20.08.2025,EROTS NAISA IKOT,45.00
3986,20.08.2025,אלמה מרקט סניף כפר-ס,60.80
3986,19.08.2025,סופרפארם כפר סבא 9,103.80
3986,19.08.2025,טבע האוכל בע”מ,172.00
3986,19.08.2025,שופרסל אקספרס  הכרמל,62.20
3986,18.08.2025,נפלאות הקולה,159.77
3986,18.08.2025,סופרפארם כפר סבא 9,60.70
3986,17.08.2025,ידיעות ספרים בע”מ,147.00
3986,17.08.2025,נקודת טבע מ.ש.מ בע”מ,24.00
