?? ?????,?????,?? ??? ???,???? ?????
3986,19.10.2025,????? ???? ???? ??”?,24.60
3986,20.10.2025,????? ???? ???? ??”?,360.00
3986,20.10.2025,?????? ????? ??”?,128.00
3986,21.10.2025,??? ?????,128.66
3986,22.10.2025,?????? ??????  ?????,28.80
3986,22.10.2025,??? ?????? ??????? ?,44.00
3986,23.10.2025,?????? ?????? ?? ??,75.60
3986,24.10.2025,??? ????? ??”?,46.00
3986,24.10.2025,?? ????,60.00
3986,24.10.2025,?????????,65.00
3986,26.10.2025,?????? ?????,159.41
3986,26.10.2025,????? ????,140.00
3986,26.10.2025,????? ??”? ?? ??????,87.68
3986,26.10.2025,??? ????? ??”?,125.00
3986,27.10.2025,????? ??? ?.?.? ??”?,23.11
3986,27.10.2025,??? ?????,43.54
3986,28.10.2025,???? ???? ???? ???-?,18.00
3986,29.10.2025,??? ????? ??”?,31.00
3986,30.10.2025,??????? ?????? ??? ?,24.00
3986,30.10.2025,??? ????? ??”?,111.00
3986,30.10.2025,?????? ?????,175.98
3986,30.10.2025,??????- ??? ?????,7.80
3986,30.10.2025,????? ??? ?.?.? ??”?,42.90
3986,30.10.2025,??? ???? ???? ??”?,22.10
3986,30.10.2025,??? ????? ??”?,31.00
3986,31.10.2025,??? ????? ??”?,17.00
3986,31.10.2025,????? ??? ?.?.? ??”?,146.14
3986,02.11.2025,?????????,50.00
3986,02.11.2025,??? ????? ??”?,84.00
3986,02.11.2025,??? ?????? ??????? ?,110.00
3986,03.11.2025,??? ????? ??”?,153.00
3986,03.11.2025,????? ????,70.20
3986,03.11.2025,EROTS NAISA IKOT,82.00
3986,04.11.2025,?????? ??? ??? ???,61.62
3986,04.11.2025,??? ????? ??”?,50.00
3986,04.11.2025,MIAMI        ~TOTALAV.COM WW5IIE,332.91
3986,04.11.2025,AMSTERDAM    ~NETFLIX.COM,54.90
3986,05.11.2025,?????? ??????  ?????,29.19
3986,05.11.2025,?????? ?????,221.48
3986,07.11.2025,??? ?????? ??????? ?,107.00
3986,09.11.2025,??? ?????? ??????? ?,97.00
3986,09.11.2025,?? ????,64.00
3986,09.11.2025,??? ????? ??”?,51.00
3986,10.11.2025,??? ?????? ??????? ?,45.00
3986,10.11.2025,?????????,65.00
3986,11.11.2025,??? ????? ??”?,36.00
3986,12.11.2025,??? ????? ??”?,69.00
3986,12.11.2025,???? ???? ???? ???-?,64.69
3986,12.11.2025,????? ????,137.90
3986,13.11.2025,????? ?????? ??”?,21.00
3986,13.11.2025,?????? ?????? ?? ??,51.60
3986,14.11.2025,EROTS NAISA IKOT,31.00
3986,14.11.2025,EROTS NAISA IKOT,15.00
3986,16.11.2025,????? ??????,58.50
3986,16.11.2025,????? ??????,150.78
3986,18.11.2025,??? ?????? ??????? ?,39.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
